"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cayman Islands","CYM","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.24084549863","","","","","","","","","","5.327947126","","","","","","","","","","","","","","","10.9699331494","","","","","","","",
"Cyprus","CYP","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.15097457798","","","","","","","","","","27.39870624029","","","","","","","","","","","","","","","30.64216403772","","","","","","","",
"Czechia","CZE","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Germany","DEU","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","801.946846941","","","","","","","","","","862.332968939","","","","","","","","","","","","","","","852.194048592","","","","","","","",
"Djibouti","DJI","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49070538953","","","","","","","","","","4.84964511171","","","","","","","","","","","","","","","8.39170619892","","","","","","","",
"Dominica","DMA","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.61973365117","","","","","","","","","","2.41399742011","","","","","","","","","","","","","","","3.04083374515","","","","","","","",
"Denmark","DNK","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","327.9753500471","","","","","","","","","","351.4084017636","","","","","","","","","","","","","","","355.663373184","","","","","","","",
"Dominican Republic","DOM","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.0706460166","","","","","","","","","","49.5250028464","","","","","","","","","","","","","","","69.8473260271","","","","","","","",
"Algeria","DZA","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.5559189549","","","","","","","","","","149.2668981591","","","","","","","","","","","","","","","164.5325647508","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38778.2686234214","","","","","","","","","","48412.1059440832","","","","","","","","","","","","","","","57986.0316838238","","","","","","","",
