Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czechia,CZE,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,
Germany,DEU,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.9468469,,,,,,,,,,862.3329689,,,,,,,,,,,,,,,852.1940486,,,,,,,
Djibouti,DJI,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49070539,,,,,,,,,,4.849645112,,,,,,,,,,,,,,,8.391706199,,,,,,,
Dominica,DMA,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.619733651,,,,,,,,,,2.41399742,,,,,,,,,,,,,,,3.040833745,,,,,,,
Denmark,DNK,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.97535,,,,,,,,,,351.4084018,,,,,,,,,,,,,,,355.6633732,,,,,,,
Dominican Republic,DOM,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.07064602,,,,,,,,,,49.52500285,,,,,,,,,,,,,,,69.84732603,,,,,,,
Algeria,DZA,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.555919,,,,,,,,,,149.2668982,,,,,,,,,,,,,,,164.5325648,,,,,,,
East Asia & Pacific (excluding high income),EAP,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38778.26862,,,,,,,,,,48412.10594,,,,,,,,,,,,,,,57986.03168,,,,,,,
Early-demographic dividend,EAR,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22219.6656,,,,,,,,,,26001.70801,,,,,,,,,,,,,,,30073.22575,,,,,,,
East Asia & Pacific,EAS,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46809.73679,,,,,,,,,,56743.00187,,,,,,,,,,,,,,,66504.34625,,,,,,,
Europe & Central Asia (excluding high income),ECA,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.150939,,,,,,,,,,1538.273545,,,,,,,,,,,,,,,1622.032995,,,,,,,
Europe & Central Asia,ECS,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10908.80677,,,,,,,,,,11766.35688,,,,,,,,,,,,,,,12522.38873,,,,,,,
Ecuador,ECU,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3261556,,,,,,,,,,136.4363004,,,,,,,,,,,,,,,149.5825623,,,,,,,
"Egypt, Arab Rep.",EGY,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3386.668117,,,,,,,,,,4071.137121,,,,,,,,,,,,,,,4819.910526,,,,,,,
Euro area,EMU,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7716.883126,,,,,,,,,,8398.67519,,,,,,,,,,,,,,,8984.901906,,,,,,,
Eritrea,ERI,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535688711,,,,,,,,,,5.535688711,,,,,,,,,,,,,,,8.390206492,,,,,,,
Spain,ESP,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.6101051,,,,,,,,,,778.0302192,,,,,,,,,,,,,,,844.2818395,,,,,,,
Estonia,EST,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09234407,,,,,,,,,,16.08126267,,,,,,,,,,,,,,,20.93740332,,,,,,,
Ethiopia,ETH,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,
European Union,EUU,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8623.527181,,,,,,,,,,9342.791779,,,,,,,,,,,,,,,9966.960885,,,,,,,
Fragile and conflict affected situations,FCS,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.560435,,,,,,,,,,2412.914349,,,,,,,,,,,,,,,2940.88031,,,,,,,
Finland,FIN,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5198239,,,,,,,,,,126.9166595,,,,,,,,,,,,,,,125.7894348,,,,,,,
Fiji,FJI,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.34507417,,,,,,,,,,15.46811317,,,,,,,,,,,,,,,21.88120637,,,,,,,
France,FRA,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.9012563,,,,,,,,,,650.6585239,,,,,,,,,,,,,,,735.7488345,,,,,,,
Faroe Islands,FRO,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Micronesia, Fed. Sts.",FSM,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.982342678,,,,,,,,,,1.982342678,,,,,,,,,,,,,,,2.458600297,,,,,,,
Gabon,GAB,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.94554318,,,,,,,,,,27.94402014,,,,,,,,,,,,,,,36.9190352,,,,,,,
United Kingdom,GBR,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0345967,,,,,,,,,,787.2236359,,,,,,,,,,,,,,,825.7949816,,,,,,,
Georgia,GEO,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.79291596,,,,,,,,,,54.27275472,,,,,,,,,,,,,,,56.15835367,,,,,,,
Ghana,GHA,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.8947322,,,,,,,,,,207.3115517,,,,,,,,,,,,,,,286.5665265,,,,,,,
Gibraltar,GIB,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.504326293,,,,,,,,,,3.504326293,,,,,,,,,,,,,,,3.504326293,,,,,,,
Guinea,GIN,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22126917,,,,,,,,,,63.15611259,,,,,,,,,,,,,,,87.13003559,,,,,,,
"Gambia, The",GMB,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.89117083,,,,,,,,,,21.92350376,,,,,,,,,,,,,,,24.65313923,,,,,,,
